timestamp,tick_direction,direction,amount,price
1577837116778,2,sell,90.0,7160.0
1577837116778,3,sell,10.0,7160.0
1577837116778,3,sell,30.0,7160.0
1577837116778,3,sell,870.0,7160.0
1577837116785,3,sell,29130.0,7160.0
1577837116785,3,sell,10.0,7160.0
1577837116785,3,sell,10.0,7160.0
1577837116785,3,sell,10.0,7160.0
1577837116785,3,sell,1130.0,7160.0
1577837116785,3,sell,80.0,7160.0
1577837116785,3,sell,20.0,7160.0
1577837116785,3,sell,5500.0,7160.0
1577837116785,3,sell,2750.0,7160.0
1577837116785,3,sell,2000.0,7160.0
1577837116785,3,sell,4000.0,7160.0
1577837116785,3,sell,10.0,7160.0
1577837116788,2,sell,2400.0,7159.5
1577837116788,3,sell,800.0,7159.5
1577837116788,3,sell,350.0,7159.5
1577837116788,3,sell,450.0,7159.5
1577837116788,3,sell,1130.0,7159.5
1577837116788,3,sell,50.0,7159.5
1577837116788,3,sell,10.0,7159.5
1577837116788,3,sell,30.0,7159.5
1577837116788,2,sell,10.0,7159.0
1577837116788,3,sell,350.0,7159.0
1577837116788,3,sell,300.0,7159.0
1577837116788,3,sell,100.0,7159.0
1577837116788,3,sell,1130.0,7159.0
1577837116795,2,sell,50.0,7158.5
1577837116795,3,sell,50.0,7158.5
1577837116795,3,sell,10.0,7158.5
1577837116795,3,sell,1130.0,7158.5
1577837116795,3,sell,300.0,7158.5
1577837116795,3,sell,200.0,7158.5
1577837116795,3,sell,80.0,7158.5
1577837116795,3,sell,160.0,7158.5
1577837116795,3,sell,100.0,7158.5
1577837116795,3,sell,80.0,7158.5
1577837116795,2,sell,10.0,7158.0
1577837116795,3,sell,20.0,7158.0
1577837116795,3,sell,50.0,7158.0
1577837116874,3,sell,1080.0,7158.0
1577837116874,3,sell,10.0,7158.0
1577837116874,3,sell,100.0,7158.0
1577837116874,3,sell,20.0,7158.0
1577837116874,3,sell,55000.0,7158.0
1577837116874,3,sell,3120.0,7158.0
1577837116903,3,sell,80.0,7158.0
1577837116903,3,sell,870.0,7158.0
1577837117345,2,sell,10.0,7157.5
1577837117345,3,sell,1000.0,7157.5
1577837117401,3,sell,1000.0,7157.5
1577837117483,3,sell,100.0,7157.5
1577837117483,3,sell,100.0,7157.5
1577837117483,3,sell,450.0,7157.5
1577837117483,3,sell,350.0,7157.5
1577837117918,3,sell,780.0,7157.5
1577837117918,3,sell,10.0,7157.5
1577837117918,3,sell,50.0,7157.5
1577837117918,3,sell,100.0,7157.5
1577837117918,3,sell,20.0,7157.5
1577837117918,3,sell,40.0,7157.5
1577837117918,2,sell,100.0,7157.0
1577837117918,3,sell,1130.0,7157.0
1577837117918,3,sell,100.0,7157.0
1577837117918,3,sell,4820.0,7157.0
1577837118020,3,sell,200.0,7157.0
1577837119401,3,sell,850.0,7157.0
1577837123219,3,sell,50.0,7157.0
1577837131112,3,sell,200.0,7157.0
1577837139092,0,buy,2000.0,7157.5
1577837143503,2,sell,500.0,7157.0
1577837150665,3,sell,13400.0,7157.0
1577837150665,3,sell,46600.0,7157.0
1577837151235,3,sell,360.0,7157.0
1577837152934,3,sell,310.0,7157.0
1577837169116,0,buy,100.0,7157.5
1577837169116,1,buy,10.0,7157.5
1577837169116,1,buy,1890.0,7157.5
1577837169897,2,sell,750.0,7157.0
1577837174216,3,sell,200.0,7157.0
1577837201739,3,sell,80.0,7157.0
1577837242025,0,buy,4650.0,7157.5
1577837242025,1,buy,10.0,7157.5
1577837242025,1,buy,10.0,7157.5
1577837242025,1,buy,630.0,7157.5
1577837287184,1,buy,50.0,7157.5
1577837287184,1,buy,70.0,7157.5
1577837287184,1,buy,20.0,7157.5
1577837287184,1,buy,100.0,7157.5
1577837287184,1,buy,100.0,7157.5
1577837287184,1,buy,3360.0,7157.5
1577837287925,1,buy,100.0,7157.5
1577837287925,1,buy,10.0,7157.5
1577837287931,1,buy,100.0,7157.5
1577837288259,0,buy,5000.0,7158.0
1577837308744,0,buy,30.0,7159.0
1577837308744,1,buy,1680.0,7159.0
1577837316602,1,buy,70.0,7159.0
1577837328097,1,buy,3250.0,7159.0
1577837328097,1,buy,100.0,7159.0
1577837328097,1,buy,20.0,7159.0
1577837328097,1,buy,60.0,7159.0
1577837328097,0,buy,80.0,7159.5
1577837328097,0,buy,110.0,7160.0
1577837328097,1,buy,10.0,7160.0
1577837328097,1,buy,10.0,7160.0
1577837328097,1,buy,350.0,7160.0
1577837333849,1,buy,4000.0,7160.0
1577837336234,1,buy,20.0,7160.0
1577837339458,1,buy,630.0,7160.0
1577837339458,1,buy,480.0,7160.0
1577837339826,1,buy,1520.0,7160.0
1577837339826,0,buy,10.0,7160.5
1577837339826,1,buy,10.0,7160.5
1577837339826,0,buy,100.0,7161.0
1577837339826,1,buy,10.0,7161.0
1577837339826,1,buy,100.0,7161.0
1577837339826,0,buy,10.0,7161.5
1577837339826,1,buy,80.0,7161.5
1577837339826,1,buy,100.0,7161.5
1577837339826,1,buy,100.0,7161.5
1577837339826,1,buy,20.0,7161.5
1577837339826,0,buy,10.0,7162.0
1577837339826,1,buy,10.0,7162.0
1577837339826,1,buy,100.0,7162.0
1577837340141,1,buy,100.0,7162.0
1577837340141,0,buy,90.0,7162.5
1577837340141,1,buy,100.0,7162.5
1577837340141,1,buy,100.0,7162.5
1577837340141,1,buy,100.0,7162.5
1577837340141,1,buy,80.0,7162.5
1577837340425,0,buy,480.0,7163.0
1577837343247,1,buy,4520.0,7163.0
1577837343247,1,buy,90.0,7163.0
1577837343247,1,buy,10.0,7163.0
1577837343247,1,buy,100.0,7163.0
1577837343247,1,buy,100.0,7163.0
1577837343247,1,buy,100.0,7163.0
1577837343247,1,buy,47700.0,7163.0
1577837343247,1,buy,100.0,7163.0
1577837343247,1,buy,52400.0,7163.0
1577837343247,1,buy,20.0,7163.0
1577837343247,0,buy,10.0,7163.5
1577837343247,0,buy,10.0,7164.0
1577837343247,1,buy,10.0,7164.0
1577837343247,1,buy,5000.0,7164.0
1577837343247,1,buy,3000.0,7164.0
1577837343247,0,buy,3580.0,7164.5
1577837343247,1,buy,80.0,7164.5
1577837343247,1,buy,53880.0,7164.5
1577837343247,0,buy,5000.0,7165.0
1577837343247,1,buy,370.0,7165.0
1577837343247,1,buy,12940.0,7165.0
1577837343247,0,buy,10.0,7165.5
1577837343247,1,buy,3690.0,7165.5
1577837343247,0,buy,15000.0,7166.0
1577837343247,1,buy,110.0,7166.0
1577837343247,1,buy,10.0,7166.0
1577837343247,1,buy,10.0,7166.0
1577837343247,1,buy,5000.0,7166.0
1577837343247,1,buy,10.0,7166.0
1577837343247,1,buy,8440.0,7166.0
1577837343247,1,buy,100.0,7166.0
1577837343247,1,buy,1000.0,7166.0
1577837343247,0,buy,100.0,7166.5
1577837343247,1,buy,15000.0,7166.5
1577837343247,1,buy,10.0,7166.5
1577837343247,0,buy,10.0,7167.0
1577837343247,1,buy,2000.0,7167.0
1577837343247,1,buy,10.0,7167.0
1577837343247,0,buy,100.0,7167.5
1577837343247,1,buy,100.0,7167.5
1577837343247,1,buy,1360.0,7167.5
1577837343247,0,buy,15000.0,7168.0
1577837343247,1,buy,10.0,7168.0
1577837343247,1,buy,2800.0,7168.0
1577837343247,1,buy,63330.0,7168.0
1577837343279,2,buy,100.0,7163.0
1577837343301,0,buy,1500.0,7167.5
1577837343301,0,buy,2940.0,7168.0
1577837343301,1,buy,310.0,7168.0
1577837343301,1,buy,1000.0,7168.0
1577837343301,0,buy,1410.0,7168.5
1577837343317,2,sell,3990.0,7168.0
1577837343317,3,sell,3990.0,7168.0
1577837343317,3,sell,3990.0,7168.0
1577837343317,3,sell,250.0,7168.0
1577837343323,3,sell,1670.0,7168.0
1577837343340,3,sell,2070.0,7168.0
1577837343340,3,sell,3990.0,7168.0
1577837343340,3,sell,6000.0,7168.0
1577837343340,3,sell,980.0,7168.0
1577837358099,3,sell,80.0,7168.0
1577837358099,3,sell,60.0,7168.0
1577837400813,0,buy,10.0,7168.5
1577837400813,1,buy,80.0,7168.5
1577837400813,1,buy,1910.0,7168.5
1577837439617,2,sell,4000.0,7168.0
1577837456203,3,sell,1720.0,7168.0
1577837491507,3,sell,70.0,7168.0
1577837491507,3,sell,70.0,7168.0
1577837506555,2,sell,3210.0,7167.5
1577837506555,3,sell,2000.0,7167.5
1577837506555,3,sell,8310.0,7167.5
1577837506555,3,sell,128600.0,7167.5
1577837506555,3,sell,10.0,7167.5
1577837506555,2,sell,1000.0,7167.0
1577837506555,3,sell,10.0,7167.0
1577837506555,2,sell,55000.0,7166.5
1577837506555,3,sell,3000.0,7166.5
1577837506555,2,sell,10.0,7166.0
1577837506555,3,sell,1130.0,7166.0
1577837506555,3,sell,100.0,7166.0
1577837506555,3,sell,100.0,7166.0
1577837506555,2,sell,10.0,7165.5
1577837506555,3,sell,100.0,7165.5
1577837506555,3,sell,100.0,7165.5
1577837506555,2,sell,80.0,7165.0
1577837506555,3,sell,3580.0,7165.0
1577837506555,3,sell,1130.0,7165.0
1577837506555,3,sell,100.0,7165.0
1577837506555,3,sell,100.0,7165.0
1577837506555,3,sell,3580.0,7165.0
1577837506555,2,sell,53880.0,7164.5
1577837506555,3,sell,100.0,7164.5
1577837506555,3,sell,1130.0,7164.5
1577837506555,3,sell,14430.0,7164.5
1577837506555,3,sell,3580.0,7164.5
1577837506555,3,sell,100.0,7164.5
1577837506555,3,sell,100.0,7164.5
1577837506555,3,sell,100.0,7164.5
1577837506555,3,sell,100.0,7164.5
1577837506555,3,sell,100.0,7164.5
1577837506555,3,sell,50.0,7164.5
1577837506555,2,sell,10.0,7164.0
1577837506555,3,sell,1130.0,7164.0
1577837506555,3,sell,350.0,7164.0
1577837526298,3,sell,1000.0,7164.0
1577837526298,3,sell,41960.0,7164.0
1577837570592,0,buy,140.0,7164.5
1577837583506,2,sell,1250.0,7164.0
1577837602883,3,sell,1250.0,7164.0
1577837604127,3,sell,9000.0,7164.0
1577837604127,3,sell,430.0,7164.0
1577837604127,3,sell,80.0,7164.0
1577837604127,3,sell,60.0,7164.0
1577837604127,3,sell,53890.0,7164.0
1577837604494,2,sell,10.0,7163.5
1577837604494,3,sell,1130.0,7163.5
1577837604494,3,sell,10.0,7163.5
1577837604494,3,sell,80.0,7163.5
1577837604494,3,sell,20.0,7163.5
1577837648014,2,sell,110.0,7163.0
1577837648014,3,sell,10.0,7163.0
1577837654777,2,sell,20.0,7162.5
1577837654777,3,sell,10.0,7162.5
1577837654777,3,sell,10.0,7162.5
1577837658103,2,sell,10.0,7162.0
1577837658103,3,sell,80.0,7162.0
1577837658103,2,sell,10.0,7161.5
1577837658103,3,sell,80.0,7161.5
1577837658103,2,sell,10.0,7160.5
1577837658103,3,sell,100.0,7160.5
1577837658103,3,sell,100.0,7160.5
1577837658103,3,sell,100.0,7160.5
1577837787410,2,sell,130.0,7160.0
1577837787410,3,sell,10.0,7160.0
1577837787410,3,sell,10.0,7160.0
1577837787410,3,sell,100.0,7160.0
1577837787410,3,sell,10.0,7160.0
1577837787410,3,sell,1380.0,7160.0
1577837851038,3,sell,2200.0,7160.0
1577837851038,3,sell,9000.0,7160.0
1577837851038,3,sell,20.0,7160.0
1577837851038,3,sell,10.0,7160.0
1577837851038,3,sell,60.0,7160.0
1577837851038,3,sell,160.0,7160.0
1577837851038,3,sell,3580.0,7160.0
1577837851038,3,sell,240.0,7160.0
1577837851038,3,sell,130.0,7160.0
1577837851038,3,sell,30.0,7160.0
1577837851038,3,sell,50.0,7160.0
1577837851038,3,sell,40.0,7160.0
1577837851038,3,sell,19740.0,7160.0
1577837866384,3,sell,2000.0,7160.0
1577837866384,3,sell,120.0,7160.0
1577837866384,3,sell,3330.0,7160.0
1577837911379,3,sell,60.0,7160.0
1577837911379,2,sell,10.0,7159.5
1577837911379,3,sell,80.0,7159.5
1577837911379,3,sell,850.0,7159.5
1577837943190,2,sell,28630.0,7159.0
1577837943403,3,sell,30.0,7159.0
1577837943403,3,sell,20.0,7159.0
1577837943403,2,sell,10.0,7158.5
1577837943403,3,sell,10.0,7158.5
1577837943403,3,sell,10.0,7158.5
1577837943403,2,sell,10.0,7158.0
1577837943403,3,sell,160.0,7158.0
1577837943403,3,sell,240.0,7158.0
1577837943403,3,sell,130.0,7158.0
1577837943403,3,sell,30.0,7158.0
1577837943403,3,sell,50.0,7158.0
1577837943403,3,sell,100.0,7158.0
1577837943403,3,sell,60.0,7158.0
1577837943403,2,sell,100.0,7157.5
1577837943403,3,sell,100.0,7157.5
1577837943403,3,sell,940.0,7157.5
1577837943426,3,sell,1260.0,7157.5
1577837943426,3,sell,80.0,7157.5
1577837943426,3,sell,100.0,7157.5
1577837943426,2,sell,10.0,7157.0
1577837943426,3,sell,110.0,7157.0
1577837943426,3,sell,10.0,7157.0
